iso_a3,pop_est_dens,life_exp,well_being,inequality,HPI,coords_x,coords_y
AFG,0.034653445791370446,0.12924230228618802,0.11965811965812043,0.7555780939351963,0.16657381894917966,12.0,13.0
ALB,0.10916469125693021,0.34163072598181143,0.3376068376068384,0.2402973540449083,0.5365138469222378,11.0,19.0
ARG,0.010837701804069903,0.3245714148416007,0.4658119658119666,0.23853243864564047,0.5012535639206346,2.0,26.0
ARM,0.08529825631274647,0.3067792741383246,0.18376068376068452,0.3418350817794169,0.2882596193817792,8.0,21.0
AUS,0.00067584004640682,0.3981547111330027,0.5555555555555564,0.07383091313133255,0.18901902501888684,2.0,6.0
AUT,0.08135749102983743,0.38556445896755126,0.5811965811965821,0.05533306218124219,0.39587243416243817,4.0,9.0
BDI,0.2903229291578309,0.08280974062638917,0.07264957264956654,0.8558450681467245,0.06259780271341608,23.0,8.0
BEL,0.28526041218088366,0.3786566393157055,0.517094017094018,0.0830841429548186,0.2448752032696042,25.0,29.0
BEN,0.0634053945803886,0.12322348898953622,0.042735042735043555,0.7901816537545924,0.014429654100281424,2.0,11.0
BFA,0.04637419643254441,0.10866300652338451,0.1452991452991461,0.7672766436599981,0.11426004428372549,12.0,13.0
BGD,0.9983671234851637,0.26349427551988863,0.23504273504273587,0.45420328741699206,0.5728294839786912,12.0,21.0
BGR,0.05372634291104688,0.3003760256610483,0.17094017094017175,0.2948965946108724,0.17139197794489033,18.0,16.0
BIH,0.07352891837578815,0.32755078749144034,0.24786324786324865,0.28151378626011475,0.2797405919885433,2.0,26.0
BLR,0.03803167153094899,0.2638666971011185,0.36324786324786407,0.17481131278711629,0.19997642081509168,2.0,26.0
BLZ,0.009626845472939622,0.2509040233544373,0.4200244200244243,0.26984239564970736,0.47105276894116976,29.0,8.0
BOL,0.00589415313488922,0.22273213277430062,0.4017094017094025,0.6042950245896537,0.23581696325458296,14.0,25.0
BRA,0.018201507671294886,0.30030394406468125,0.517094017094018,0.3411913875474669,0.4823497071218667,27.0,19.0
BTN,0.013492027224295324,0.23832578478838057,0.3504273504273512,0.4383050333456655,0.3543867990679811,27.0,19.0
BWA,0.0012974275187107322,0.1842766011124593,0.24786324786324865,0.4744176547915159,0.08560900170565351,2.0,18.0
CAN,0.001438917326903954,0.3933732985739858,0.5811965811965821,0.08882748355727789,0.24969047529121755,2.0,6.0
CHE,0.15889130982446978,0.4047381636011966,0.6324786324786332,0.0328047766667446,0.48203648076379496,4.0,9.0
CHL,0.016992186676190957,0.386117084539699,0.4786324786324794,0.1968050314769527,0.42242553479473416,2.0,26.0
CHN,0.11730409098993293,0.3178197719818835,0.2863247863247871,0.25973298985844107,0.2896015429791918,2.0,26.0
CIV,0.05244809164664666,0.023066110837468037,0.12286324786324743,0.7955655633721649,0.03715611720582796,2.0,11.0
CMR,0.03168181493596349,0.06847751654873321,0.17094017094017175,0.8466292835473954,0.08769232768203515,18.0,3.0
COD,0.023642239850252596,0.14465575030935024,0.13247863247863326,0.7043942728885605,0.13498113895032116,12.0,13.0
COL,0.032683488873774286,0.2974927618063649,0.4529914529914538,0.378094327101855,0.6243639687165218,27.0,20.0
CRI,0.06786136066800066,0.3624022393349273,0.5683760683760691,0.2017316316472343,0.7142475304034791,20.0,28.0
CYP,0.08055334648439148,0.3709679357032161,0.42735042735042816,0.15306712517818566,0.4010972347064639,2.0,26.0
CZE,0.10869311657687464,0.35169812227441477,0.44017094017094094,0.10002996414588916,0.32443798033824567,2.0,26.0
DEU,0.19520131640544436,0.3803865976285157,0.49145299145299226,0.08018684746516062,0.3810511323526009,2.0,26.0
DJI,0.016937778962155214,0.14898064609137557,0.19658119658119744,0.7358365478296242,0.08165689642515951,12.0,13.0
DNK,0.10693406100106911,0.37148452047718017,0.5940170940170949,0.05487455324353574,0.44494776354138676,4.0,9.0
DOM,0.16499105616246193,0.2905729285551244,0.24786324786324865,0.4984114406186293,0.3920478821363456,8.0,21.0
DZA,0.010337261999518432,0.30518146541885427,0.3504273504273512,0.397445748783387,0.45899168052746003,27.0,19.0
ECU,0.04731287466254426,0.3188289143310228,0.4017094017094025,0.34623198365783986,0.5426828507497753,27.0,19.0
EGY,0.0679875546501027,0.26228090198104265,0.17094017094017175,0.37515473174425473,0.2460939953754135,12.0,13.0
ESP,0.0659466819025241,0.39983661504823476,0.44017094017094094,0.1148574163546375,0.5184457604602579,2.0,26.0
EST,0.02393616378108086,0.3278511274763033,0.32478632478632563,0.15591950800730411,0.11445760741175455,17.0,12.0
ETH,0.06116902355122003,0.16706111318011999,0.222222222222223,0.6229744817115571,0.31045246948566946,5.0,14.0
FIN,0.012778661008547425,0.37856053052054944,0.5811965811965821,0.03728121005101975,0.4141024813727933,4.0,9.0
FRA,0.08241159753065201,0.39473083530556596,0.4786324786324794,0.08282804459613019,0.3944250538064541,2.0,26.0
GAB,0.0032715862667073914,0.17329617126587304,0.1452991452991461,0.6286513328210216,0.10555271345540401,12.0,13.0
GBR,0.21304041542900473,0.3782121361381084,0.517094017094018,0.098066357101269,0.4278771692526131,0.0,17.0
GEO,0.053774808356963286,0.3080887564723268,0.18376068376068452,0.30267479949939036,0.40924204669726466,1.0,15.0
GHA,0.08573593565295035,0.14538857987241563,0.2863247863247871,0.6552272327652064,0.19361930546065573,12.0,13.0
GIN,0.03251114878809349,0.10508295390381914,0.10683760683760765,0.74060124703273,0.06880215944969224,12.0,13.0
GRC,0.06785227706452981,0.3795696728696885,0.2863247863247871,0.22763829563260188,0.24251523461611174,2.0,26.0
GTM,0.10171370731406844,0.2696452384098801,0.3888888888888897,0.4564800014884864,0.47992041188788526,27.0,19.0
HND,0.056463619612555506,0.28646427756220044,0.222222222222223,0.5279681609936094,0.32163509758244024,12.0,13.0
HRV,0.06528715571762751,0.33699347661552886,0.4017094017094025,0.14674720103810646,0.38884945923406683,2.0,26.0
HTI,0.2718432259465963,0.15818306322757364,0.19658119658119744,0.6438255832359279,0.35313332518633916,22.0,16.0
HUN,0.08963811434244591,0.3117408906882591,0.23504273504273587,0.21351585921467878,0.3042895672553078,2.0,26.0
IDN,0.10900194862890093,0.23543050733430257,0.32478632478632563,0.3224678742863252,0.5130138202557798,5.0,11.0
IND,0.32551949069180863,0.22055767128389334,0.222222222222223,0.5320203809737406,0.36673709053069187,20.0,2.0
IRL,0.049261353131888376,0.37972584966181727,0.5299145299145308,0.08222966854545334,0.3855469428043868,2.0,26.0
IRN,0.03238812942406476,0.3108398707336705,0.222222222222223,0.3699380106253298,0.25081334108644376,12.0,13.0
IRQ,0.05815362685125995,0.24087266786001754,0.23504273504273587,0.44722598691579707,0.3073783053472417,12.0,13.0
ISL,0.0009190347728143042,0.3999086966446017,0.6068376068376077,0.015064495701109579,0.4093022203241184,4.0,9.0
ISR,0.27720256331734006,0.39673710640444987,0.5427350427350436,0.0650362744357458,0.35904400999567443,12.0,14.0
ITA,0.16320712425614728,0.40589146914307,0.37606837606837684,0.1446323018660133,0.34216004396897337,2.0,26.0
JAM,0.21602646468742775,0.3173512416054976,0.3440170940170948,0.3316195300337045,0.5392324699849165,11.0,19.0
JPN,0.28913628927612167,0.41241485361429137,0.4017094017094025,0.09781598976843293,0.347590624986467,25.0,29.0
KAZ,0.003125228371851919,0.23661985367435956,0.37606837606837684,0.26681626616412574,0.14029763543251084,18.0,16.0
KEN,0.05553091664720701,0.13695503309746643,0.2094017094017102,0.6618161854384925,0.2558298804117378,12.0,13.0
KGZ,0.021990153663112535,0.2501231393937939,0.29914529914529997,0.2726202179250252,0.45401399905404183,2.0,26.0
KHM,0.06686037632030663,0.22293636396400732,0.13247863247863326,0.4575392862007528,0.2878784390418716,12.0,13.0
KOR,0.41346568185640653,0.38970915075865875,0.4017094017094025,0.13279689446418266,0.268667197398569,25.0,29.0
LBN,0.3259197929508028,0.35905044510385764,0.222222222222223,0.28747295285326324,0.2039763528242678,3.0,8.0
LBR,0.028173732371862256,0.1359819315465107,0.19658119658119744,0.6710669283423842,0.21033922465363158,12.0,13.0
LKA,0.28202356939565465,0.3086413820444744,0.17094017094017175,0.2487173775276541,0.46997778129649664,29.0,12.0
LSO,0.056912077313579654,0.0004445031775970283,0.26068376068376153,0.7461179373364086,0.08695205115512343,7.0,20.0
LTU,0.04570241663168038,0.2870529439325317,0.37606837606837684,0.13696266895764675,0.18471611532629084,2.0,26.0
LUX,0.15675114189947031,0.3868499141027645,0.5299145299145308,0.048520814235657087,0.008364659719346496,2.0,6.0
LVA,0.028302962299038645,0.2966998642463269,0.2863247863247871,0.19285323613500793,0.09570975227121953,17.0,12.0
MAR,0.04744639798793983,0.2940808995783227,0.2735042735042743,0.3996873832025106,0.44463845317379336,27.0,19.0
MEX,0.04608821967131646,0.33038599694854587,0.5683760683760691,0.2847747672514578,0.6244149862628452,5.0,26.0
MKD,0.06672378030605891,0.31423971936231815,0.222222222222223,0.27130261694387015,0.23739175357964085,2.0,26.0
MMR,0.05985138997686191,0.1993176275543917,0.19658119658119744,0.5509436715888035,0.2674537104658453,12.0,13.0
MNE,0.04005482747968282,0.3227213205348455,0.29914529914529997,0.2220247540262477,0.2761640547978929,2.0,26.0
MNG,0.0,0.23618736409615684,0.26068376068376153,0.346640190555402,0.03337461979950091,2.0,18.0
MOZ,0.02135276642922548,0.06500558632371856,0.2735042735042743,0.7564238687864647,0.24442382804723145,5.0,14.0
MRT,0.0008998331720498017,0.1644902029096938,0.23504273504273587,0.6387768822960027,0.1167620186013928,12.0,13.0
MWI,0.09767106624509109,0.13469647641129764,0.18376068376068452,0.7926810682515729,0.20918833884610447,12.0,13.0
MYS,0.06365665663783746,0.30656302934922336,0.3888888888888897,0.11554803062933436,0.3917012465671899,2.0,26.0
NAM,0.0005036063976144471,0.18145340525474837,0.23321123321123324,0.43315612662221975,0.19662887611555188,12.0,13.0
NER,0.008446641446575398,0.1337834428573146,0.11965811965812043,0.6985055704033667,0.09100956986432515,12.0,13.0
NGA,0.13504223855467792,0.0384675452612357,0.3376068376068384,0.7866287182476737,0.21178276593808046,10.0,5.0
NIC,0.03920266888214279,0.3052895878134049,0.32478632478632563,0.402003733962915,0.5794842986461853,27.0,19.0
NLD,0.41224860969964283,0.3880632876416104,0.5940170940170949,0.0,0.5040537404140095,4.0,2.0
NOR,0.009046926053024993,0.388892225999832,0.6196581196581205,0.04993286166281886,0.5378596859778646,4.0,9.0
NPL,0.16457688608472346,0.2392388183423636,0.17094017094017175,0.44984326079625836,0.39664528287321194,8.0,21.0
NZL,0.011714990392132455,0.3905260755174859,0.5555555555555564,0.07404316139579607,0.41331918317040117,4.0,9.0
OMN,0.007579398181537821,0.32905248741575466,0.517094017094018,0.17905867384663618,0.18701652448374115,2.0,6.0
PAK,0.1665752143029459,0.201756388231478,0.2863247863247871,0.6962548598413696,0.4187261729256357,22.0,16.0
PAN,0.03607418220598285,0.3400449308617356,0.517094017094018,0.28926874881030096,0.5976959920088712,5.0,26.0
PER,0.017622302167561252,0.30249041915448294,0.37606837606837684,0.33271025962762996,0.4870570906867045,27.0,19.0
PHL,0.2724633816698213,0.22872691887216334,0.2735042735042743,0.433424945637729,0.49679970921130495,8.0,21.0
POL,0.10320583585589205,0.33657300063672085,0.3888888888888897,0.1344930722760411,0.32862212918536904,2.0,26.0
PRT,0.09587299658484405,0.3774672929756485,0.27222222222222303,0.23685295029344386,0.26994271058349634,2.0,26.0
PRY,0.013054847142810173,0.28505868643304233,0.37606837606837684,0.35614510678739564,0.23592274991441523,18.0,16.0
PSE,0.569120811317829,0.28402551688511396,0.222222222222223,0.3830907687317055,0.48518920960564843,16.0,3.0
ROU,0.07890874217247125,0.30534965581037743,0.29914529914529997,0.29793342061621914,0.3583735942083178,2.0,26.0
RUS,0.005500082721682543,0.24758826992155117,0.3504273504273512,0.22853039282835022,0.13268802812746133,18.0,16.0
RWA,0.3524935380174946,0.1699443770348035,0.05555555555555633,0.6482171152010989,0.15322294807702633,27.0,1.0
SEN,0.05777366968519351,0.1984526483979866,0.10683760683760765,0.5616804400027999,0.20393780526811756,12.0,13.0
SLE,0.07279184841805367,0.010187532286548447,0.2094017094017102,0.8977675017931345,0.05563111295343776,18.0,3.0
SLV,0.2876314466062078,0.2831725513281036,0.3888888888888897,0.3543600085139546,0.5112042125926823,0.0,17.0
SRB,0.07787385732368429,0.30736794050865596,0.29914529914529997,0.29109638312479463,0.3638934235877001,2.0,26.0
SUR,0.0009405167479337701,0.2628335275531902,0.44017094017094094,0.28784714574103343,0.2833560119788515,2.0,26.0
SVK,0.09313494115056453,0.32391066687490244,0.3888888888888897,0.1674097911504701,0.3455677444729905,2.0,26.0
SVN,0.0814381257760361,0.37293816600391655,0.4145299145299153,0.11630583722035003,0.26527855558598096,2.0,26.0
SWE,0.016920846534403233,0.3956919232571271,0.6068376068376077,0.02658292948954641,0.3412296989689046,4.0,9.0
SWZ,0.05287370209588253,0.0,0.26068376068376153,0.7238454362637341,0.06170046594175828,7.0,20.0
SYR,0.09002917994442775,0.25799204699720096,0.042735042735043555,0.513664631857613,0.14141441780329042,12.0,13.0
TCD,0.0052096577731526785,0.022801811650788734,0.1452991452991461,0.9148095874438233,0.0,2.0,11.0
TGO,0.09069083033134157,0.11642379173224103,0.0,0.759884757681468,0.010200659050864983,2.0,18.0
THA,0.10597358204263035,0.30246639195569397,0.44017094017094094,0.21047333145660874,0.5482155449367322,2.0,26.0
TJK,0.04253798110721758,0.2414733478297434,0.2094017094017102,0.4252409994675427,0.4802166459058214,8.0,21.0
TKM,0.007038060374997707,0.1968788668773052,0.3376068376068384,0.5279533425424798,0.040957756490409725,2.0,18.0
TTO,0.21137644300090574,0.25476038876007645,0.4529914529914538,0.33630023095775247,0.06577773952974404,3.0,2.0
TUN,0.05466984076188083,0.30915796681843843,0.2094017094017102,0.3485980362556521,0.30012889968512596,2.0,26.0
TUR,0.08161154560784692,0.31007100037242163,0.31196581196581274,0.282202684354297,0.30521508268922704,2.0,26.0
TZA,0.037022208141547136,0.17580701353932654,0.1452991452991461,0.5709241576923219,0.20935743227636777,12.0,13.0
UGA,0.10950437527322102,0.09887192301685514,0.18376068376068452,0.7305543068996085,0.14854262518538722,12.0,13.0
UKR,0.06417359374841265,0.25717512223837385,0.2735042735042743,0.2444966217806732,0.3042891409772486,2.0,26.0
URY,0.015021461488382199,0.3361525246579129,0.4529914529914538,0.2630946490816386,0.5223662943097629,2.0,26.0
USA,0.026998244797082186,0.3591705810978028,0.5299145299145308,0.1701879627205568,0.17822625397018108,2.0,6.0
UZB,0.05249871334511458,0.23139393793774568,0.4017094017094025,0.5025817114844655,0.36563772139747663,12.0,23.0
VEN,0.0237258084635584,0.30003964487800205,0.5427350427350436,0.2878909272445244,0.46501700696627685,2.0,26.0
VNM,0.2323273487679112,0.31916529511406927,0.3376068376068384,0.28126944160147244,0.6156995437369511,0.0,17.0
VUT,0.01332018683393314,0.2694770480183569,0.4619658119658127,0.35500910982732753,0.6215703954717068,27.0,20.0
YEM,0.042072099556106635,0.17335623926284566,0.15811965811965886,0.6782245266552311,0.2231313785537259,12.0,13.0
ZAF,0.03209684075158974,0.08860029553454511,0.2863247863247871,0.5706587417922506,0.06914681210777843,2.0,18.0
ZMB,0.01167819361757425,0.11411718064849413,0.2735042735042743,0.7192401385451728,0.2783707675134532,5.0,14.0
ZWE,0.02557832149752463,0.05722077391607307,0.2735042735042743,0.6363827678992029,0.2087794510167485,12.0,13.0
